Accession	Nlevel	Rep	DryWeight_g	AppliedN_mg
Akita	H	one	0.044	15.54
Akita	H	one	0.039	15.54
Akita	H	one	0.037	15.54
Akita	H	one	0.036	15.54
Akita	H	one	0.035	15.54
Akita	H	one	0.024	15.54
Akita	H	two	0.062	19.88
Akita	H	two	0.061	19.88
Akita	H	two	0.059	19.88
Akita	H	two	0.044	19.88
Akita	H	two	0.035	19.88
Akita	H	two	0.025	19.88
Akita	H	three	0.037	13.3
Akita	H	three	0.036	13.3
Akita	H	three	0.022	13.3
Akita	H	three	0.022	13.3
Akita	H	three	0.021	13.3
Akita	L	one	0.034	3.108
Akita	L	one	0.029	3.108
Akita	L	one	0.02	3.108
Akita	L	one	0.011	3.108
Akita	L	one	0.009	3.108
Akita	L	two	0.039	3.976
Akita	L	two	0.034	3.976
Akita	L	two	0.027	3.976
Akita	L	two	0.023	3.976
Akita	L	two	0.019	3.976
Akita	L	three	0.026	2.66
Akita	L	three	0.023	2.66
Akita	L	three	0.022	2.66
Akita	L	three	0.018	2.66
Akita	L	three	0.015	2.66
Akita	L	three	0.013	2.66
Bl-1	H	one	0.036	15.54
Bl-1	H	one	0.036	15.54
Bl-1	H	one	0.032	15.54
Bl-1	H	one	0.023	15.54
Bl-1	H	one	0.019	15.54
Bl-1	H	one	0.018	15.54
Bl-1	H	two	0.076	19.88
Bl-1	H	two	0.057	19.88
Bl-1	H	two	0.052	19.88
Bl-1	H	two	0.048	19.88
Bl-1	H	two	0.047	19.88
Bl-1	H	two	0.045	19.88
Bl-1	H	three	0.035	13.3
Bl-1	H	three	0.033	13.3
Bl-1	H	three	0.032	13.3
Bl-1	H	three	0.031	13.3
Bl-1	H	three	0.027	13.3
Bl-1	H	three	0.027	13.3
Bl-1	L	one	0.022	3.108
Bl-1	L	one	0.018	3.108
Bl-1	L	one	0.016	3.108
Bl-1	L	one	0.011	3.108
Bl-1	L	two	0.045	3.976
Bl-1	L	two	0.034	3.976
Bl-1	L	two	0.03	3.976
Bl-1	L	two	0.022	3.976
Bl-1	L	two	0.021	3.976
Bl-1	L	three	0.023	2.66
Bl-1	L	three	0.022	2.66
Bl-1	L	three	0.02	2.66
Bl-1	L	three	0.018	2.66
Bl-1	L	three	0.015	2.66
Bl-1	L	three	0.014	2.66
Bur-0	H	one	0.052	15.54
Bur-0	H	one	0.028	15.54
Bur-0	H	one	0.028	15.54
Bur-0	H	one	0.026	15.54
Bur-0	H	two	0.092	19.88
Bur-0	H	two	0.077	19.88
Bur-0	H	two	0.071	19.88
Bur-0	H	two	0.07	19.88
Bur-0	H	two	0.055	19.88
Bur-0	H	two	0.04	19.88
Bur-0	H	three	0.03	13.3
Bur-0	H	three	0.029	13.3
Bur-0	H	three	0.029	13.3
Bur-0	H	three	0.029	13.3
Bur-0	H	three	0.023	13.3
Bur-0	H	three	0.018	13.3
Bur-0	L	one	0.026	3.108
Bur-0	L	one	0.024	3.108
